match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR,match_id
Sri Lanka vs South Africa,South Africa,6,David Miller,not out,6,6,13,1,0,100.00,T20I # 2635
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
U.S.A. vs Canada,Canada,1,Aaron Johnson,out,23,16,24,5,0,143.75,T20I # 2632
U.S.A. vs Canada,Canada,2,Navneet Dhaliwal,out,61,44,62,6,3,138.63,T20I # 2632
U.S.A. vs Canada,Canada,3,Pargat Singh,out,5,7,12,0,0,71.42,T20I # 2632
U.S.A. vs Canada,Canada,4,Nicholas Kirton,out,51,31,43,3,2,164.51,T20I # 2632
U.S.A. vs Canada,Canada,5,Shreyas Movva,not out,32,16,29,2,2,200.00,T20I # 2632
U.S.A. vs Canada,Canada,6,Dilpreet Bajwa,out,11,5,5,1,1,220.00,T20I # 2632
U.S.A. vs Canada,Canada,7,Dilon Heyliger,not out,1,1,4,0,0,100.00,T20I # 2632
U.S.A. vs Canada,United States of America,1,Steven Taylor,out,0,2,2,0,0,0.00,T20I # 2632
U.S.A. vs Canada,United States of America,2,Monank Patel,out,16,16,33,2,0,100.00,T20I # 2632
U.S.A. vs Canada,United States of America,3,Andries Gous,out,65,46,76,7,3,141.30,T20I # 2632
U.S.A. vs Canada,United States of America,4,Aaron Jones,not out,94,40,56,4,10,235.00,T20I # 2632
U.S.A. vs Canada,United States of America,5,Corey Anderson,not out,3,5,8,0,0,60.00,T20I # 2632
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
West Indies vs P.N.G.,Papua New Guinea,1,Tony Ura,out,2,5,7,0,0,40.00,T20I # 2633
West Indies vs P.N.G.,Papua New Guinea,2,Assad Vala,out,21,22,26,2,1,95.45,T20I # 2633
West Indies vs P.N.G.,Papua New Guinea,3,Lega Siaka,out,1,2,2,0,0,50.00,T20I # 2633
West Indies vs P.N.G.,Papua New Guinea,4,Sese Bau,out,50,43,55,6,1,116.27,T20I # 2633
West Indies vs P.N.G.,Papua New Guinea,5,Hiri Hiri,out,2,6,10,0,0,33.33,T20I # 2633
West Indies vs P.N.G.,Papua New Guinea,6,Charles Amini,out,12,14,22,0,0,85.71,T20I # 2633
West Indies vs P.N.G.,Papua New Guinea,7,Kiplin Doriga,not out,27,18,23,3,0,150.00,T20I # 2633
West Indies vs P.N.G.,Papua New Guinea,8,Chad Soper,out,10,9,10,1,0,111.11,T20I # 2633
West Indies vs P.N.G.,Papua New Guinea,9,Alei Nao,out,0,0,2,0,0,-,T20I # 2633
West Indies vs P.N.G.,Papua New Guinea,10,Kabua Morea,not out,2,2,3,0,0,100.00,T20I # 2633
West Indies vs P.N.G.,West Indies,1,Brandon King,out,34,29,44,7,0,117.24,T20I # 2633
West Indies vs P.N.G.,West Indies,2,Johnson Charles,out,0,1,6,0,0,0.00,T20I # 2633
West Indies vs P.N.G.,West Indies,3,Nicholas Pooran,out,27,27,30,1,2,100.00,T20I # 2633
West Indies vs P.N.G.,West Indies,4,Roston Chase,not out,42,27,39,4,2,155.55,T20I # 2633
West Indies vs P.N.G.,West Indies,5,Rovman Powell,out,15,14,14,2,0,107.14,T20I # 2633
West Indies vs P.N.G.,West Indies,6,Sherfane Rutherford,out,2,7,6,0,0,28.57,T20I # 2633
West Indies vs P.N.G.,West Indies,7,Andre Russell,not out,15,9,11,0,1,166.66,T20I # 2633
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Oman vs Namibia,Oman,1,Kashyap Prajapati,out,0,1,1,0,0,0.00,T20I # 2634
Oman vs Namibia,Oman,2,Naseem Khushi,out,6,6,16,1,0,100.00,T20I # 2634
Oman vs Namibia,Oman,3,Aqib Ilyas,out,0,1,2,0,0,0.00,T20I # 2634
Oman vs Namibia,Oman,4,Zeeshan Maqsood,out,22,20,29,4,0,110.00,T20I # 2634
Oman vs Namibia,Oman,5,Khalid Kail,out,34,39,56,1,1,87.17,T20I # 2634
Oman vs Namibia,Oman,6,Ayaan Khan,out,15,21,16,0,1,71.42,T20I # 2634
Oman vs Namibia,Oman,7,Mohammad Nadeem,out,6,10,10,0,0,60.00,T20I # 2634
Oman vs Namibia,Oman,8,Mehran Khan,out,7,8,12,1,0,87.50,T20I # 2634
Oman vs Namibia,Oman,9,Shakeel Ahmed,out,11,9,13,2,0,122.22,T20I # 2634
Oman vs Namibia,Oman,10,Kaleemullah,out,2,3,4,0,0,66.66,T20I # 2634
Oman vs Namibia,Namibia,1,Michael van Lingen,out,0,2,1,0,0,0.00,T20I # 2634
Oman vs Namibia,Namibia,2,Nikolaas Davin,out,24,31,35,2,1,77.41,T20I # 2634
Oman vs Namibia,Namibia,3,Jan Frylinck,out,45,48,77,6,0,93.75,T20I # 2634
Oman vs Namibia,Namibia,4,Gerhard Erasmus,out,13,16,19,1,0,81.25,T20I # 2634
Oman vs Namibia,Namibia,5,JJ Smit,out,8,12,13,1,0,66.66,T20I # 2634
Oman vs Namibia,Namibia,6,David Wiese,not out,9,8,15,0,1,112.50,T20I # 2634
Oman vs Namibia,Namibia,7,Zane Green,out,0,2,2,0,0,0.00,T20I # 2634
Oman vs Namibia,Namibia,8,Malan Kruger,not out,1,1,3,0,0,100.00,T20I # 2634
